Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Threshold
CatBoost,0.7566660138216614,0.5489199491740788,0.07353191489361702,0.12969078354848393,0.6698169539325114,0.39
LightGBM,0.7549453009149156,0.5608108108108109,0.02825531914893617,0.053800032409658076,0.6510015450687181,0.5
XGBoost,0.7548613636999524,0.5377218934911243,0.04124822695035461,0.07661906518417032,0.6495019031880721,0.43
HistGradientBoosting,0.7546515206625444,0.53556827473426,0.03716312056737588,0.06950339558573854,0.654217369163968,0.46
Majority Class Baseline,0.753434431045578,0.0,0.0,0.0,0.5,0.5
Logistic Regression,0.7533644833664419,0.41379310344827586,0.0006808510638297873,0.0013594652769910501,0.6260987229512563,0.66
